27/09/2023;3hours
28/09/2023;1hour
29/09/2023;3:15hours
30/09/2023;3hours
01/10/2023;1hour
04/10/2023;5hours
05/10/2023;1:45hours
08/10/2023;2hours
09/10/2023;1hour
10/10/2023;2hours
23/10/2023;3hours
26/10/2023;2hours
04/11/2023;3hours
05/11/2023;3hours
12/11/2023;2hours
14/11/2023;1:30hours
15/11/2023;4hours
18/11/2023;2hours
19/11/2023;0:25minutes
